# ATTO 633
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
Q0 0.64
extcoeffv 130000
tauf 3300

# ex-wav, exc-val, fluor-wav, fluor-val
251, 0.07, 591, 0.001
252, 0.068, 592, 0.002
253, 0.066, 593, 0.003
254, 0.065, 594, 0.003
255, 0.063, 595, 0.003
256, 0.06, 596, 0.003
257, 0.057, 597, 0.004
258, 0.055, 598, 0.002
259, 0.052, 599, 0.002
260, 0.049, 600, 0.003
261, 0.046, 601, 0.003
262, 0.044, 602, 0.006
263, 0.043, 603, 0.004
264, 0.041, 604, 0.004
265, 0.04, 605, 0.005
266, 0.04, 606, 0.007
267, 0.039, 607, 0.009
268, 0.039, 608, 0.009
269, 0.04, 609, 0.012
270, 0.04, 610, 0.012
271, 0.041, 611, 0.017
272, 0.042, 612, 0.018
273, 0.043, 613, 0.02
274, 0.044, 614, 0.025
275, 0.046, 615, 0.028
276, 0.048, 616, 0.032
277, 0.049, 617, 0.038
278, 0.051, 618, 0.04
279, 0.054, 619, 0.051
280, 0.056, 620, 0.057
281, 0.059, 621, 0.067
282, 0.061, 622, 0.078
283, 0.064, 623, 0.089
284, 0.068, 624, 0.106
285, 0.071, 625, 0.121
286, 0.074, 626, 0.142
287, 0.078, 627, 0.165
288, 0.082, 628, 0.185
289, 0.085, 629, 0.209
290, 0.09, 630, 0.229
291, 0.094, 631, 0.249
292, 0.098, 632, 0.273
293, 0.102, 633, 0.296
294, 0.106, 634, 0.321
295, 0.11, 635, 0.345
296, 0.114, 636, 0.379
297, 0.118, 637, 0.412
298, 0.122, 638, 0.449
299, 0.125, 639, 0.489
300, 0.128, 640, 0.528
301, 0.13, 641, 0.568
302, 0.133, 642, 0.613
303, 0.135, 643, 0.654
304, 0.137, 644, 0.694
305, 0.139, 645, 0.736
306, 0.14, 646, 0.777
307, 0.142, 647, 0.811
308, 0.142, 648, 0.844
309, 0.143, 649, 0.875
310, 0.143, 650, 0.906
311, 0.142, 651, 0.931
312, 0.141, 652, 0.952
313, 0.14, 653, 0.968
314, 0.138, 654, 0.981
315, 0.136, 655, 0.991
316, 0.133, 656, 0.997
317, 0.129, 657, 1
318, 0.124, 658, 0.999
319, 0.118, 659, 0.992
320, 0.111, 660, 0.986
321, 0.104, 661, 0.984
322, 0.097, 662, 0.976
323, 0.089, 663, 0.962
324, 0.081, 664, 0.947
325, 0.074, 665, 0.931
326, 0.067, 666, 0.914
327, 0.06, 667, 0.898
328, 0.054, 668, 0.884
329, 0.049, 669, 0.867
330, 0.045, 670, 0.851
331, 0.041, 671, 0.836
332, 0.038, 672, 0.817
333, 0.035, 673, 0.799
334, 0.033, 674, 0.78
335, 0.03, 675, 0.765
336, 0.029, 676, 0.748
337, 0.027, 677, 0.73
338, 0.026, 678, 0.711
339, 0.025, 679, 0.694
340, 0.023, 680, 0.678
341, 0.022, 681, 0.664
342, 0.022, 682, 0.647
343, 0.021, 683, 0.632
344, 0.021, 684, 0.616
345, 0.02, 685, 0.602
346, 0.02, 686, 0.59
347, 0.02, 687, 0.571
348, 0.02, 688, 0.558
349, 0.019, 689, 0.544
350, 0.019, 690, 0.528
351, 0.019, 691, 0.519
352, 0.019, 692, 0.51
353, 0.02, 693, 0.503
354, 0.02, 694, 0.489
355, 0.02, 695, 0.487
356, 0.021, 696, 0.479
357, 0.021, 697, 0.474
358, 0.022, 698, 0.467
359, 0.023, 699, 0.457
360, 0.023, 700, 0.457
361, 0.024, 701, 0.449
362, 0.024, 702, 0.442
363, 0.025, 703, 0.433
364, 0.026, 704, 0.429
365, 0.027, 705, 0.422
366, 0.027, 706, 0.416
367, 0.028, 707, 0.411
368, 0.029, 708, 0.404
369, 0.029, 709, 0.398
370, 0.03, 710, 0.394
371, 0.031, 711, 0.389
372, 0.031, 712, 0.388
373, 0.032, 713, 0.383
374, 0.032, 714, 0.377
375, 0.033, 715, 0.369
376, 0.035, 716, 0.363
377, 0.036, 717, 0.359
378, 0.037, 718, 0.354
379, 0.038, 719, 0.347
380, 0.04, 720, 0.339
381, 0.041, 721, 0.332
382, 0.042, 722, 0.325
383, 0.044, 723, 0.322
384, 0.045, 724, 0.313
385, 0.046, 725, 0.307
386, 0.046, 726, 0.298
387, 0.047, 727, 0.294
388, 0.047, 728, 0.287
389, 0.048, 729, 0.278
390, 0.048, 730, 0.273
391, 0.047, 731, 0.263
392, 0.047, 732, 0.259
393, 0.047, 733, 0.252
394, 0.046, 734, 0.242
395, 0.046, 735, 0.241
396, 0.046, 736, 0.239
397, 0.046, 737, 0.227
398, 0.046, 738, 0.223
399, 0.047, 739, 0.214
400, 0.047, 740, 0.209
401, 0.049, 741, 0.207
402, 0.05, 742, 0.203
403, 0.052, 743, 0.196
404, 0.053, 744, 0.195
405, 0.055, 745, 0.183
406, 0.057, 746, 0.179
407, 0.059, 747, 0.175
408, 0.06, 748, 0.169
409, 0.062, 749, 0.161
410, 0.062, 750, 0.158
411, 0.062, 751, 0.154
412, 0.062, 752, 0.149
413, 0.06, 753, 0.149
414, 0.058, 754, 0.144
415, 0.055, 755, 0.14
416, 0.052, 756, 0.137
417, 0.048, 757, 0.132
418, 0.044, 758, 0.127
419, 0.041, 759, 0.127
420, 0.037, 760, 0.12
421, 0.033, 761, 0.122
