# wl,abs, wl,em
633,-2.13E-02
634,-3.74E-02
635,-3.42E-02
636,-4.39E-02
637,-3.53E-02
638,-4.81E-02
639,-3.95E-02
640,-4.07E-02
641,-0.0385439
642,-3.00E-02
643,-4.81E-02
644,-0.0512848
645,-4.81E-02
646,-4.49E-02
647,-5.25E-02
648,-4.49E-02
649,-4.59E-02
650,-3.00E-02
Data Copyright MP Inc.
