# wl,abs, wl,em
634,0.3597122
635,0.3147482
636,0.2922662
637,0.2473022
638,0.2023381
639,0.2023381
640,0.1798561
641,0.1798561
642,0.1573741
643,0.1573741
644,0.1348921
645,0.1124101
646,0.1348921
647,0.1124101
648,8.99E-02
649,4.50E-02
650,2.25E-02
Data Copyright MP Inc.
