# wl,abs, wl,em
300,9.248878,480,0.9764336
301,8.926569,481,1.06855
302,8.618274,482,1.344899
303,8.436098,483,1.677286
304,8.323991,484,2.169533
305,8.253923,485,2.680011
306,8.225897,486,3.391034
307,8.267938,487,4.174983
308,8.352017,488,5.104782
309,8.450112,489,6.362747
310,8.6463,490,7.866738
311,8.912557,491,9.580103
312,9.164798,492,11.56982
313,9.473094,493,14.00169
314,9.921524,494,16.82045
315,10.29989,495,20.00844
316,10.66424,496,23.54533
317,11.16872,497,27.35856
318,11.50504,498,31.926
319,11.78531,499,36.1883
320,12.13565,500,40.54464
321,12.2898,501,45.51508
322,12.34585,502,50.8348
323,12.2898,503,55.85707
324,12.14966,504,60.93498
325,11.95347,505,66.08775
326,11.63117,506,71.62624
327,11.36491,507,76.16681
328,11.01457,508,80.4982
329,10.45404,509,85.34198
330,10.01962,510,88.33576
331,9.613229,511,91.54065
332,8.954597,512,93.22945
333,8.478139,513,96.23667
334,8.015695,514,97.30176
335,7.329036,515,98.36686
336,6.880605,516,99.51831
337,6.390135,517,99.49911
338,5.731502,518,100
339,5.325112,519,99.28802
340,4.932735,520,98.12122
341,4.372197,521,97.5378
342,4.035874,522,95.42105
343,3.727578,523,93.52499
344,3.335202,524,92.38889
345,3.08296,525,90.49474
346,2.844731,526,89.18017
347,2.550448,527,86.41475
348,2.35426,528,84.01397
349,2.200112,529,81.72641
350,2.031951,530,79.222
351,1.933856,531,77.16282
352,1.821749,532,74.59315
353,1.737668,533,72.50134
354,1.695628,534,69.88754
355,1.625561,535,67.41959
356,1.555493,536,65.94765
357,1.54148,537,63.81554
358,1.527466,538,62.03078
359,1.513453,539,59.9217
360,1.527466,540,58.39795
361,1.513453,541,56.74368
362,1.513453,542,55.18922
363,1.555493,543,53.51961
364,1.597534,544,52.37584
365,1.625561,545,50.77723
366,1.653587,546,49.7889
367,1.639574,547,48.17878
368,1.667601,548,47.10601
369,1.723655,549,45.83557
370,1.751682,550,44.99693
371,1.779709,551,43.87426
372,1.793722,552,42.86674
373,1.807735,553,41.62125
