# wl,ex, wl,em
350,0.313838818,480,2.986223149
351,0.360553691,481,3.284004537
352,0.34227948,482,4.028781831
353,0.337038315,483,5.052932313
354,0.361946357,484,6.204490415
355,0.322798734,485,7.659028117
356,0.348682649,486,9.45842734
357,0.339058046,487,11.70617273
358,0.345907289,488,14.38622755
359,0.337760921,489,17.42660483
360,0.317852333,490,21.16048074
361,0.327148223,491,25.24979106
362,0.328674589,492,30.04349286
363,0.332365898,493,35.07346667
364,0.334314381,494,40.75398173
365,0.341017021,495,46.60737546
366,0.334142356,496,53.23061302
367,0.338454442,497,59.68001393
368,0.374622302,498,66.22956785
369,0.344687726,499,72.62200985
370,0.35388927,500,78.78456151
371,0.343814942,501,83.83466831
372,0.358196614,502,88.45230481
373,0.360527382,503,92.31846457
374,0.35445317,504,95.33278179
375,0.369951818,505,97.72867331
376,0.372496628,506,99.29198751
377,0.363408109,507,99.97590573
378,0.374829371,508,100
379,0.385636106,509,99.31684972
380,0.391978673,510,97.86250977
381,0.403234341,511,96.44746722
382,0.397974107,512,94.17239567
383,0.427501623,513,91.42314319
384,0.43643499,514,89.15135244
385,0.461007054,515,86.81342795
386,0.456388519,516,84.00801768
387,0.504020514,517,81.12383941
388,0.523238255,518,79.09141789
389,0.57208477,519,77.12656522
390,0.572773284,520,75.34327137
391,0.619321213,521,73.32033381
392,0.655156852,522,71.45539571
393,0.713675547,523,69.68781706
394,0.729922285,524,68.27365321
395,0.779549062,525,67.37192096
396,0.871132583,526,67.03408483
397,0.887633958,527,66.61271557
398,0.950027088,528,66.30964866
399,0.986679426,529,65.7768619
400,1.085626338,530,65.65360957
401,1.154236476,531,65.7907157
402,1.270102314,532,65.45622898
403,1.350350043,533,65.81988454
404,1.450681995,534,66.23515216
405,1.498610592,535,66.39335259
406,1.616082308,536,65.97836296
407,1.729356002,537,65.68055743
408,1.808848719,538,65.75542373
409,1.965502068,539,65.28760459
410,2.085718745,540,64.50544285
411,2.178570984,541,63.87720204
412,2.315582046,542,63.18998553
413,2.432311435,543,62.4342195
414,2.622594406,544,61.25320574
415,2.820324411,545,59.70220305
416,3.032796282,546,57.95463335
417,3.240975002,547,55.98517368
418,3.570848669,548,54.2995845
419,3.880609312,549,52.83630773
420,4.232353358,550,51.52873844
421,4.559358368,551,49.903869
422,4.920060107,552,48.08373221
423,5.276032692,553,46.58066352
424,5.598841136,554,44.69848546
425,6.088372829,555,43.42732627
426,6.50235901,556,41.67286336
427,7.040932222,557,40.67094709
428,7.518884239,558,39.33276307
429,7.977446976,559,38.06194015
430,8.49260151,560,36.65990957
431,9.016970278,561,35.56201908
432,9.535066816,562,34.42063438
433,10.24722245,563,33.15770211
434,10.72455828,564,32.14643038
435,11.36896485,565,31.56886774
436,12.01555774,566,30.51793504
437,12.69346389,567,29.7195069
438,13.55632367,568,29.00537871
439,14.01222263,569,28.28598069
440,14.71178467,570,27.73346197
441,15.43673543,571,27.28006668
442,16.29421838,572,26.79160402
443,17.27283417,573,26.48039159
444,18.17612783,574,26.18266309
445,19.14402024,575,25.63520675
446,20.02695291,576,25.15649621
447,21.19871085,577,24.7032289
448,22.5640186,578,24.291619
449,24.07113356,579,23.83359237
450,25.28383362,580,23.50063582
451,26.85687378,581,22.97313112
452,28.42312305,582,22.52073172
453,30.06959483,583,22.11276662
454,31.87971773,584,21.64162532
455,33.976426,585,21.20071875
456,35.68160368,586,20.73795258
457,37.57505393,587,20.39340325
458,39.40048503,588,19.77891852
459,41.31910525,589,19.31904261
460,43.05188412,590,18.87923801
461,44.7974621,591,18.22648354
462,46.2256617,592,17.58324855
463,47.7594047,593,17.19714098
464,49.17710451,594,16.79769169
465,50.10799616,595,16.35901304
466,51.45040289,596,15.92090731
467,52.56038536,597,15.47300579
468,53.23134214,598,15.04420605
469,54.16465469,599,14.59350748
470,55.09129336,600,14.15962176
471,55.81256963,601,13.68749329
472,56.43036574,602,13.33906803
473,57.25669692,603,12.96547809
474,58.56416046,604,12.51785808
475,59.67099361,605,12.19917198
476,60.91308102,606,12.01664248
477,62.68994392,607,11.54675553
478,64.96111306,608,11.3515132
479,67.32827021,609,10.87653759
480,69.91991427,610,10.45959697
481,72.51464249,611,10.30074407
482,75.64953479,612,9.844408732
483,79.02667644,613,9.562601217
484,82.44749703,614,9.275586592
485,86.00642235,615,9.10995024
486,89.40346193,616,8.819862912
487,92.22590719,617,8.635041002
488,95.32986916,618,8.349933477
489,97.75592342,619,8.229011349
490,99.13341692,620,7.947608595
491,99.67336974,621,7.644427548
492,100,622,7.352596271
493,99.65382559,623,7.224075357
494,97.58196625,624,7.035363269
495,94.81303931,625,6.849142807
496,90.98326745,626,6.760563647
497,86.19051251,627,6.582151769
498,80.79517449,628,6.430299892
499,75.20321814,629,6.34491014
500,69.09561722,630,6.149351804
501,63.34018069,631,6.039003097
502,57.15807014,632,5.913448755
503,51.19709226,633,5.65519461
504,45.56044085,634,5.643689449
505,40.08738191,635,5.519269463
506,34.88381015,636,5.525957948
507,29.95726613,637,5.396054948
508,25.30792925,638,5.244270703
509,21.69565813,639,5.025679997
510,18.46216731,640,5.041825338
511,15.73529373,641,4.882594913
512,13.42351069,642,4.693470098
513,11.25737228,643,4.678081155
514,9.411445585,644,4.636532598
515,7.903319895,645,4.53720958
516,6.61525555,646,4.43430263
517,5.416924325,647,4.423630289
518,4.554036371,648,4.244517181
519,3.844988692,649,4.14401121
520,3.338930775,650,4.129516384
