# wl,abs, wl,em
427,-0.111856823
428,-0.20299942
429,-0.215427956
430,-0.302427707
431,-0.451570138
432,-0.410141685
433,-0.472284365
434,-0.497141437
435,-0.517855663
436,-0.530284199
437,-0.584141188
438,-0.567569807
439,-0.563426962
440,-0.567569807
441,-0.54685558
442,-0.559284116
443,-0.700140857
444,-0.637998177
445,-0.497141437
446,-0.517855663
447,-0.637998177
448,-0.575855498
449,-0.563426962
450,-0.509569973
451,-0.418427376
452,-0.459855829
453,-0.492998591
454,-0.385284613
455,-0.418427376
456,-0.34385616
457,-0.252713564
458,-0.281713481
459,-0.285856326
460,-0.194713729
461,-0.219570801
462,-0.14085674
463,-0.103571133
464,-0.066285525
465,0.024857072
466,0.024857072
467,0.111856823
468,0.14085674
469,0.219570801
470,0.310713398
471,0.294142017
472,0.302427707
473,0.401855995
474,0.463998674
475,0.542712735
476,0.592426879
477,0.704283702
478,0.778854918
479,0.824426216
480,0.923854503
481,1.056425553
482,1.180710912
483,1.284282045
484,1.379567487
485,1.48313862
486,1.56185268
487,1.710995111
488,1.89742315
489,1.996851438
490,2.154279559
491,2.307564836
492,2.655563841
493,2.7798492
494,2.962134394
495,3.032562764
496,3.210705112
497,3.44643301
498,3.662275251
499,3.894274588
500,4.126273925
501,4.300273428
502,4.623415362
503,4.80155771
504,5.033557047
505,5.306984837
506,5.646698152
507,5.969840086
508,6.313696247
509,6.599552573
510,6.918551661
511,7.328693347
512,7.639406745
513,8.024691358
514,8.430690198
515,8.811831966
516,9.242687878
517,9.723257934
518,10.149971
519,10.63054106
520,11.10282542
521,11.62896677
522,12.14682244
523,12.67296379
524,13.28196205
525,13.82467479
526,14.48753004
527,15.07167122
528,15.75109785
529,16.48023863
530,17.15552241
531,17.86394896
532,18.73394647
533,19.47551578
534,20.2543707
535,21.12436822
536,22.04822272
537,22.99693429
538,23.90836026
539,24.89435744
540,25.89278316
541,26.94092303
542,28.03049134
543,29.03720275
544,30.18435662
545,31.36962466
546,32.49647858
547,33.61048968
548,34.79575773
549,35.8811832
550,37.08675118
551,38.24260502
552,39.43988731
553,40.698898
554,41.76816638
555,42.96959152
556,44.15444527
557,45.38487033
558,46.48686718
559,47.63857818
560,49.01814566
561,49.99171431
562,51.13928246
563,52.28270776
564,53.401276
565,54.56955837
566,55.81241196
567,57.01797995
568,58.18211948
569,59.51611567
570,60.77968349
571,62.20067943
572,63.62167537
573,64.99295716
574,66.55480984
575,68.12494821
576,69.71165797
577,71.35222471
578,73.0797912
579,74.74107217
580,76.50592427
581,78.3743475
582,80.09777115
583,81.96205154
584,83.77661778
585,85.62018394
586,87.40989311
587,89.02560278
588,90.74488359
589,92.29845058
590,93.72358936
591,95.11972823
592,96.2962963
593,97.3941503
594,98.26414782
595,99.02228851
596,99.52771564
597,99.88400033
598,100
599,99.85500041
600,99.50700141
601,99.03885989
602,98.96843152
603,95.64586958
604,95.26472782
605,93.64073246
606,91.46159582
607,89.22445936
608,87.21517939
609,84.82475764
610,82.09876543
611,79.09105974
612,76.02121137
613,72.71522081
614,69.28080205
615,65.75109785
616,62.12610821
617,58.37683321
618,54.64827243
619,50.92799735
620,47.06686552
621,43.56201839
622,40.04888557
623,36.77189494
624,33.39961886
625,30.36705609
626,27.49192145
627,24.69550087
628,22.16007954
629,19.77794349
630,17.61952109
631,15.5812412
632,13.75838926
633,12.03910846
634,10.56839838
635,9.26754495
636,8.107548264
637,6.97240865
638,6.094125445
639,5.257270694
640,4.557129837
641,4.001988566
642,3.426133068
643,2.986991466
644,2.680420913
645,2.340707598
646,2.050708427
647,1.818709089
648,1.673709504
649,1.512138537
650,1.35885326
651,1.2801392
652,1.130996769
653,1.035711327
654,0.990140028
655,0.95285442
656,0.878283205
657,0.836854752
658,0.81199768
659,0.729140774
660,0.675283785
661,0.658712404
662,0.658712404
663,0.571712652
664,0.613141105
665,0.53856989
666,0.526141354
667,0.505427127
668,0.414284531
669,0.376998923
670,0.389427459
671,0.323141934
672,0.339713315
673,0.376998923
674,0.33557047
675,0.339713315
676,0.34385616
677,0.294142017
678,0.285856326
679,0.244427873
680,0.244427873
681,0.252713564
682,0.231999337
683,0.227856492
684,0.161570967
685,0.14085674
686,0.240285028
687,0.14085674
688,0.173999503
689,0.165713812
690,0.157428122
691,0.144999586
692,0.194713729
693,0.173999503
694,0.074571216
695,0.095285442
696,0.136713895
697,0.103571133
698,0.103571133
699,0.153285276
700,0.157428122
Data Copyright MP Inc.
