# ATTO 495
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
Q0 0.7
extcoeffv 80000
tauf 1000

# ex-wav, exc-val, fluor-wav, fluor-val
250, 0.2538, 470, 0.001
251, 0.2752, 471, 0.001
252, 0.2982, 472, 0.001
253, 0.3254, 473, 0.001
254, 0.3568, 474, 0.001
255, 0.3904, 475, 0.001
256, 0.4264, 476, 0.002
257, 0.4662, 477, 0.002
258, 0.5072, 478, 0.003
259, 0.549, 479, 0.003
260, 0.5894, 480, 0.004
261, 0.627, 481, 0.005
262, 0.662, 482, 0.006
263, 0.6946, 483, 0.007
264, 0.7222, 484, 0.009
265, 0.7478, 485, 0.011
266, 0.769, 486, 0.013
267, 0.7864, 487, 0.016
268, 0.7966, 488, 0.02
269, 0.7976, 489, 0.025
270, 0.7886, 490, 0.03
271, 0.7662, 491, 0.036
272, 0.7336, 492, 0.045
273, 0.689, 493, 0.055
274, 0.6382, 494, 0.068
275, 0.5848, 495, 0.083
276, 0.5306, 496, 0.1
277, 0.4838, 497, 0.117
278, 0.442, 498, 0.135
279, 0.41, 499, 0.157
280, 0.3856, 500, 0.18
281, 0.3694, 501, 0.206
282, 0.3598, 502, 0.234
283, 0.3554, 503, 0.267
284, 0.3552, 504, 0.302
285, 0.3556, 505, 0.341
286, 0.3578, 506, 0.382
287, 0.3602, 507, 0.427
288, 0.3628, 508, 0.472
289, 0.3626, 509, 0.517
290, 0.3632, 510, 0.564
291, 0.3614, 511, 0.61
292, 0.3588, 512, 0.656
293, 0.3578, 513, 0.699
294, 0.3536, 514, 0.741
295, 0.3474, 515, 0.779
296, 0.3396, 516, 0.814
297, 0.3294, 517, 0.846
298, 0.313, 518, 0.875
299, 0.2966, 519, 0.902
300, 0.2784, 520, 0.924
301, 0.2556, 521, 0.945
302, 0.235, 522, 0.96
303, 0.2134, 523, 0.973
304, 0.1914, 524, 0.983
305, 0.1734, 525, 0.991
306, 0.1534, 526, 0.995
307, 0.138, 527, 0.999
308, 0.1232, 528, 1
309, 0.1106, 529, 0.997
310, 0.101, 530, 0.992
311, 0.0948, 531, 0.988
312, 0.0884, 532, 0.981
313, 0.0828, 533, 0.973
314, 0.0788, 534, 0.965
315, 0.0744, 535, 0.955
316, 0.0706, 536, 0.944
317, 0.0672, 537, 0.932
318, 0.062, 538, 0.919
319, 0.0542, 539, 0.906
320, 0.0502, 540, 0.892
321, 0.0464, 541, 0.878
322, 0.04, 542, 0.862
323, 0.0368, 543, 0.847
324, 0.0318, 544, 0.832
325, 0.027, 545, 0.816
326, 0.0248, 546, 0.8
327, 0.0214, 547, 0.785
328, 0.0178, 548, 0.77
329, 0.015, 549, 0.755
330, 0.0132, 550, 0.74
331, 0.0096, 551, 0.727
332, 0.0068, 552, 0.713
333, 0.0046, 553, 0.7
334, 0.004, 554, 0.688
335, 0.0034, 555, 0.676
336, 0.0016, 556, 0.664
337, 0.0006, 557, 0.651
338, 0, 558, 0.639
