# wl,abs, wl,abs
551,41.60283
552,37.71362
553,32.88155
554,29.69947
555,26.87095
556,23.62994
557,21.6264
558,19.9175
559,17.97289
560,16.79434
561,15.8515
562,14.73188
563,14.1426
564,13.67118
565,13.14084
566,12.8462
567,12.61049
568,12.43371
569,12.31585
570,12.198
571,12.13907
572,12.13907
573,12.08014
574,12.08014
575,12.02121
576,11.96229
577,11.7855
578,11.66765
579,11.49087
580,11.19623
581,10.96052
582,10.66588
583,10.19446
584,9.840896
585,9.369476
586,8.721272
587,8.190925
588,7.660578
589,6.953447
590,6.482027
591,5.951679
592,5.303476
593,4.832057
594,4.419564
595,3.889216
596,3.535651
597,3.182086
598,2.828521
599,2.592811
600,2.298173
601,2.062463
602,1.885681
603,1.767826
604,1.591043
605,1.473188
606,1.414261
607,1.296405
608,1.237478
609,1.17855
610,1.119623
611,1.060695
612,1.060695
613,1.001768
614,0.9428403
615,1.001768
616,0.8839128
617,0.8839128
618,0.8249853
619,0.7660577
620,0.7071303
621,0.7071303
622,0.7071303
623,0.6482027
624,0.5892752
625,0.5892752
626,0.5892752
627,0.5303476
628,0.4714201
629,0.4714201
630,0.4714201
631,0.4124926
632,0.4124926
633,0.3535651
634,0.3535651
635,0.3535651
636,0.3535651
637,0.3535651
638,0.3535651
639,0.3535651
640,0.3535651
641,0.3535651
642,0.2946376
643,0.2946376
644,0.2946376
645,0.2357101
646,0.2357101
647,0.1767826
648,0.117855
649,5.89E-02
650,0.117855
Data Copyright MP Inc.
