# wl,abs, wl,em
400,2.977084,500,0.8141565
401,2.935353,501,0.9738615
402,2.900252,502,1.097208
403,2.895052,503,1.297803
404,2.879581,504,1.517765
405,2.871651,505,1.804102
406,2.83265,506,2.099386
407,2.797549,507,2.415059
408,2.755948,508,2.790762
409,2.701477,509,3.263762
410,2.671446,510,3.772439
411,2.616844,511,4.289159
412,2.601374,512,4.917333
413,2.554442,513,5.523306
414,2.510241,514,6.478932
415,2.47267,515,7.477146
416,2.450569,516,8.685468
417,2.430939,517,10.11557
418,2.405068,518,11.60218
419,2.381537,519,13.24307
420,2.373867,520,14.84986
421,2.341236,521,16.87698
422,2.317836,522,19.38435
423,2.354237,523,21.75082
424,2.381537,524,24.42322
425,2.358137,525,27.31479
426,2.389338,526,30.28168
427,2.392068,527,33.9583
428,2.428469,528,37.33669
429,2.519341,529,41.62007
430,2.524541,530,45.52401
431,2.576543,531,49.60147
432,2.650775,532,53.93809
433,2.753478,533,58.78996
434,2.83538,534,63.23542
435,2.964084,535,67.9132
436,3.077057,536,72.94776
437,3.244892,537,76.93552
438,3.369565,538,81.17043
439,3.5491,539,84.88544
440,3.740076,540,87.86649
441,3.965112,541,91.07916
442,4.124887,542,94.04333
443,4.351223,543,95.33604
444,4.565599,544,97.41029
445,4.810136,545,98.18276
446,5.064813,546,99.36945
447,5.350821,547,100
448,5.679731,548,99.70709
449,6.00877,549,98.94991
450,6.384351,550,97.42036
451,6.760191,551,95.84291
452,7.172173,552,94.57342
453,7.603915,553,92.69672
454,8.040728,554,90.6235
455,8.498341,555,88.89936
456,8.972855,556,86.17078
457,9.501969,557,83.98044
458,10.00118,558,80.94797
459,10.50937,559,78.66317
460,11.13468,560,75.77828
461,11.7197,561,72.66539
462,12.35425,562,69.98597
463,13.02767,563,67.5136
464,13.64896,564,64.73495
465,14.37711,565,62.27062
466,15.05963,566,60.10679
467,15.77075,567,57.6889
468,16.54037,568,55.80687
469,17.35536,569,53.9604
470,18.17568,570,51.87688
471,19.02721,571,50.02362
472,19.97117,572,48.48977
473,20.95906,573,46.64591
474,22.04212,574,45.22136
475,23.14702,575,43.48952
476,24.35216,576,42.22525
477,25.62749,577,41.45379
478,27.09394,578,39.88676
479,28.59301,579,38.63936
480,30.20765,580,37.53456
481,31.8847,581,35.97432
482,33.65522,582,35.34535
483,35.49347,583,34.42982
484,37.40713,584,33.84718
485,39.42089,585,32.82383
486,41.42684,586,32.15476
487,43.58894,587,31.23516
488,45.7509,588,30.50153
489,48.03376,589,29.48112
490,50.28412,590,28.72812
491,52.61626,591,28.01738
492,54.91745,592,27.40087
493,57.18719,593,26.55851
494,59.36228,594,25.92955
495,61.53854,595,25.12252
496,63.61197,596,24.3778
497,65.46596,597,23.61914
498,67.20788,598,22.89073
499,68.69771,599,22.33029
500,70.09929,600,21.69249
501,71.24969,601,20.93848
502,72.23915,602,20.36512
503,73.03217,603,19.57962
504,73.69506,604,19.0236
505,74.27877,605,18.17127
506,74.80152,606,17.84722
507,75.35403,607,16.97394
508,75.96505,608,16.2803
509,76.73064,609,15.41234
510,77.62389,610,14.7981
511,78.72113,611,14.33065
512,79.96253,612,13.77848
513,81.4473,613,12.9701
514,83.02165,614,12.61909
515,84.7507,615,12.20397
516,86.61353,616,11.66482
517,88.60127,617,11.08807
518,90.58514,618,10.72403
519,92.53129,619,10.1637
520,94.37097,620,9.869326
521,96.08442,621,9.517181
522,97.58987,622,9.149632
523,98.65199,623,8.798734
524,99.54642,624,8.584095
525,100,625,8.182114
526,99.948,626,7.814905
527,99.43058,627,7.677287
528,98.39329,628,7.391743
529,96.84235,629,7.169855
530,94.85719,630,7.010036
531,92.31419,631,6.845461
532,89.3462,632,6.59469
533,85.92593,633,6.270523
534,82.19209,634,6.149894
535,78.00468,635,5.90977
536,73.62096,636,5.726959
537,68.92522,637,5.395656
538,64.26459,638,5.324977
539,59.41948,639,5.209333
540,54.70412,640,5.109206
541,50.05272,641,4.836348
542,45.50896,642,4.572664
543,41.24627,643,4.484657
544,37.08095,644,4.39359
545,33.25871,645,4.285761
546,29.63434,646,4.150408
547,26.31651,647,4.068177
548,23.22243,648,3.943924
549,20.50795,649,3.808798
550,18.04438,650,3.731777
551,15.84212,651,3.644675
552,13.93119,652,3.518157
553,12.26442,653,3.351429
554,10.77081,654,3.256286
555,9.469337,655,3.241675
556,8.346107,656,3.117988
557,7.333378,657,2.926908
558,6.458453,658,2.8056
559,5.705731,659,2.818399
560,5.038813,660,2.761426
561,4.453926,661,2.563437
562,4.015684,662,2.424686
563,3.598502,663,2.435333
564,3.308594,664,2.416078
565,3.000485,665,2.320708
566,2.736578,666,2.253088
567,2.554442,667,2.167233
568,2.356967,668,2.19521
569,2.160661,669,2.09361
570,2.020257,670,2.094969
571,1.862823,671,1.956558
572,1.725019,672,1.895281
573,1.600345,673,1.852806
574,1.489712,674,1.918501
575,1.396109,675,1.810105
576,1.320837,676,1.669315
577,1.218135,677,1.62163
578,1.137532,678,1.624235
579,1.0477,679,1.476083
580,0.9724275,680,1.57655
581,0.918996,681,1.530904
582,0.8294235,682,1.37992
583,0.7616916,683,1.385471
584,0.7111201,684,1.338238
585,0.6407881,685,1.320796
586,0.5759163,686,1.267447
587,0.5356152,687,1.236526
588,0.4834837,688,1.237432
589,0.4366823,689,1.272658
590,0.4017114,690,1.260311
591,0.387411,691,1.207869
592,0.3287793,692,1.16143
593,0.3068087,693,1.174343
594,0.2858781,694,1.093131
595,0.2431069,695,1.199488
596,0.2548072,696,1.078633
597,0.2015057,697,1.04386
598,0.1898054,698,1.074102
599,0.1612046,699,1.073083
600,0.142874,700,1.007275
601,0.1274036,,
602,0.105173,,
603,9.36E-02,,
604,0.1129732,,
605,8.97E-02,,
606,8.06E-02,,
607,7.92E-02
608,6.10E-02
609,5.98E-02
610,7.14E-02
611,5.45E-02
612,4.15E-02
613,4.03E-02
614,4.80E-02
615,4.41E-02
616,3.77E-03
617,4.03E-02
618,2.20E-02
619,2.86E-02
620,3.77E-03
621,3.25E-02
622,2.72E-02
623,3.25E-02
624,2.20E-02
625,2.20E-02
626,1.55E-02
627,1.82E-02
628,6.37E-03
629,1.55E-02
630,6.37E-03
631,1.82E-02
632,0
633,1.43E-02
634,-5.07E-03
635,1.55E-02
636,-5.07E-03
637,-3.77E-03
638,1.29E-02
639,1.17E-03
640,-1.17E-03
641,6.37E-03
642,7.67E-03
643,1.29E-02
644,-1.55E-02
645,1.17E-03
646,-1.69E-02
647,5.07E-03
648,1.17E-03
649,-1.17E-03
650,-3.77E-03
651,-1.03E-02
652,-3.77E-03
653,1.17E-03
654,1.55E-02
655,3.76E-02
656,9.10E-03
657,2.34E-02
658,-7.67E-03
659,1.69E-02
660,-2.47E-03
661,-2.47E-03
662,-0.0247007
663,-2.07E-02
664,-2.59E-02
665,-9.10E-03
666,-2.47E-03
667,5.07E-03
668,-1.03E-02
669,-5.07E-03
670,-1.55E-02
671,2.34E-02
672,5.07E-03
673,2.47E-03
674,3.77E-03
675,7.67E-03
Data Copyright MP Inc.
