# ATTO 425
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
Q0 0.9
extcoeffv 45000
tauf 3600

# ex-wav, exc-val, fluor-wav, fluor-val
250, 0.2234, 420, 0
251, 0.2288, 421, 0
252, 0.2332, 422, 0
253, 0.2396, 423, 0
254, 0.2454, 424, 0
255, 0.2508, 425, 0
256, 0.2548, 426, 0
257, 0.262, 427, 0.001
258, 0.2664, 428, 0.001
259, 0.27, 429, 0.001
260, 0.2746, 430, 0.001
261, 0.2778, 431, 0.002
262, 0.2814, 432, 0.003
263, 0.2834, 433, 0.003
264, 0.2862, 434, 0.004
265, 0.2862, 435, 0.005
266, 0.2868, 436, 0.005
267, 0.2856, 437, 0.006
268, 0.2848, 438, 0.007
269, 0.2824, 439, 0.008
270, 0.279, 440, 0.009
271, 0.2742, 441, 0.011
272, 0.2714, 442, 0.012
273, 0.2658, 443, 0.014
274, 0.2604, 444, 0.017
275, 0.254, 445, 0.021
276, 0.2508, 446, 0.025
277, 0.2426, 447, 0.031
278, 0.236, 448, 0.037
279, 0.2314, 449, 0.046
280, 0.2244, 450, 0.055
281, 0.2162, 451, 0.066
282, 0.2102, 452, 0.079
283, 0.2038, 453, 0.094
284, 0.1954, 454, 0.111
285, 0.1888, 455, 0.128
286, 0.1814, 456, 0.149
287, 0.1762, 457, 0.172
288, 0.1702, 458, 0.197
289, 0.1638, 459, 0.227
290, 0.1598, 460, 0.257
291, 0.154, 461, 0.291
292, 0.149, 462, 0.327
293, 0.142, 463, 0.366
294, 0.1352, 464, 0.41
295, 0.127, 465, 0.453
296, 0.1196, 466, 0.5
297, 0.114, 467, 0.545
298, 0.1074, 468, 0.589
299, 0.1024, 469, 0.637
300, 0.098, 470, 0.681
301, 0.0936, 471, 0.724
302, 0.0904, 472, 0.761
303, 0.0882, 473, 0.797
304, 0.086, 474, 0.833
305, 0.0852, 475, 0.863
306, 0.0836, 476, 0.89
307, 0.08, 477, 0.916
308, 0.0806, 478, 0.935
309, 0.0782, 479, 0.952
310, 0.0778, 480, 0.97
311, 0.0768, 481, 0.979
312, 0.0746, 482, 0.99
313, 0.0738, 483, 0.996
314, 0.0718, 484, 1
315, 0.0704, 485, 0.999
316, 0.069, 486, 0.996
317, 0.0686, 487, 0.993
318, 0.0684, 488, 0.983
319, 0.0632, 489, 0.973
320, 0.0606, 490, 0.962
321, 0.0596, 491, 0.949
322, 0.0604, 492, 0.937
323, 0.0594, 493, 0.922
324, 0.057, 494, 0.907
325, 0.0566, 495, 0.89
326, 0.0552, 496, 0.876
327, 0.0546, 497, 0.859
328, 0.0544, 498, 0.839
329, 0.0534, 499, 0.82
330, 0.054, 500, 0.809
331, 0.0526, 501, 0.79
332, 0.0534, 502, 0.772
333, 0.0534, 503, 0.757
334, 0.0538, 504, 0.736
335, 0.0552, 505, 0.72
336, 0.056, 506, 0.704
337, 0.056, 507, 0.688
338, 0.0564, 508, 0.673
339, 0.0582, 509, 0.657
340, 0.0604, 510, 0.644
341, 0.0592, 511, 0.631
342, 0.0616, 512, 0.617
343, 0.0642, 513, 0.605
344, 0.0662, 514, 0.592
345, 0.0664, 515, 0.579
346, 0.0692, 516, 0.569
347, 0.0696, 517, 0.553
348, 0.0724, 518, 0.542
349, 0.074, 519, 0.53
350, 0.0758, 520, 0.516
351, 0.0768, 521, 0.503
352, 0.0774, 522, 0.49
353, 0.0814, 523, 0.479
354, 0.0838, 524, 0.463
355, 0.0848, 525, 0.451
356, 0.0876, 526, 0.439
357, 0.0896, 527, 0.429
358, 0.0914, 528, 0.415
359, 0.0932, 529, 0.402
360, 0.0934, 530, 0.39
361, 0.0974, 531, 0.381
362, 0.0998, 532, 0.37
363, 0.1004, 533, 0.362
364, 0.1032, 534, 0.35
365, 0.1064, 535, 0.34
366, 0.1086, 536, 0.329
367, 0.111, 537, 0.322
368, 0.1146, 538, 0.313
369, 0.1162, 539, 0.303
370, 0.12, 540, 0.293
371, 0.1234, 541, 0.284
372, 0.1274, 542, 0.276
373, 0.1294, 543, 0.268
374, 0.1332, 544, 0.258
375, 0.1378, 545, 0.251
376, 0.1408, 546, 0.242
377, 0.1476, 547, 0.234
378, 0.1524, 548, 0.228
379, 0.1592, 549, 0.219
380, 0.1654, 550, 0.214
381, 0.1712, 551, 0.205
382, 0.1798, 552, 0.2
383, 0.1874, 553, 0.195
384, 0.193, 554, 0.189
385, 0.202, 555, 0.182
386, 0.2118, 556, 0.178
387, 0.221, 557, 0.174
388, 0.2314, 558, 0.165
389, 0.242, 559, 0.163
390, 0.253, 560, 0.16
391, 0.2644, 561, 0.153
392, 0.2754, 562, 0.148
393, 0.2894, 563, 0.143
394, 0.303, 564, 0.139
395, 0.3174, 565, 0.135
396, 0.3314, 566, 0.129
397, 0.347, 567, 0.126
398, 0.3614, 568, 0.122
399, 0.3786, 569, 0.118
400, 0.395, 570, 0.115
401, 0.4136, 571, 0.111
402, 0.43, 572, 0.108
403, 0.449, 573, 0.105
404, 0.468, 574, 0.103
405, 0.4866, 575, 0.099
406, 0.5052, 576, 0.098
407, 0.5264, 577, 0.094
408, 0.547, 578, 0.091
409, 0.568, 579, 0.088
410, 0.5886, 580, 0.086
411, 0.6122, 581, 0.083
412, 0.6318, 582, 0.08
413, 0.6524, 583, 0.076
414, 0.6744, 584, 0.075
415, 0.6952, 585, 0.073
416, 0.7158, 586, 0.07
417, 0.737, 587, 0.067
418, 0.7588, 588, 0.066
419, 0.7786, 589, 0.065
420, 0.7984, 590, 0.062
421, 0.8198, 591, 0.061
422, 0.8394, 592, 0.059
423, 0.8566, 593, 0.057
424, 0.8742, 594, 0.055
425, 0.8936, 595, 0.053
426, 0.9082, 596, 0.052
427, 0.9222, 597, 0.049
428, 0.9382, 598, 0.049
429, 0.951, 599, 0.047
430, 0.962, 600, 0.046
431, 0.9714, 601, 0.043
432, 0.9826, 602, 0.043
433, 0.9894, 603, 0.041
434, 0.9936, 604, 0.041
435, 0.997, 605, 0.039
436, 0.999, 606, 0.038
437, 0.9976, 607, 0.037
438, 0.994, 608, 0.035
439, 0.9896, 609, 0.034
440, 0.9808, 610, 0.033
441, 0.9684, 611, 0.032
442, 0.9564, 612, 0.031
443, 0.9406, 613, 0.03
444, 0.9202, 614, 0.029
445, 0.8984, 615, 0.028
446, 0.8756, 616, 0.028
447, 0.8488, 617, 0.027
448, 0.8184, 618, 0.026
449, 0.7874, 619, 0.025
