# ATTO 565
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
Q0 0.9
extcoeffv 120000
tauf 4000

# ex-wav, exc-val, fluor-wav, fluor-val
250, 0.371, 501, 0.004
251, 0.371, 502, 0.004
252, 0.37, 503, 0.004
253, 0.37, 504, 0.004
254, 0.368, 505, 0.004
255, 0.365, 506, 0.004
256, 0.362, 507, 0.004
257, 0.357, 508, 0.005
258, 0.351, 509, 0.005
259, 0.344, 510, 0.005
260, 0.335, 511, 0.005
261, 0.324, 512, 0.006
262, 0.31, 513, 0.006
263, 0.294, 514, 0.006
264, 0.278, 515, 0.006
265, 0.259, 516, 0.006
266, 0.24, 517, 0.006
267, 0.221, 518, 0.006
268, 0.207, 519, 0.007
269, 0.192, 520, 0.007
270, 0.182, 521, 0.007
271, 0.174, 522, 0.007
272, 0.167, 523, 0.008
273, 0.162, 524, 0.008
274, 0.16, 525, 0.008
275, 0.157, 526, 0.008
276, 0.158, 527, 0.009
277, 0.158, 528, 0.009
278, 0.159, 529, 0.009
279, 0.16, 530, 0.01
280, 0.164, 531, 0.01
281, 0.166, 532, 0.011
282, 0.168, 533, 0.012
283, 0.172, 534, 0.012
284, 0.176, 535, 0.013
285, 0.179, 536, 0.015
286, 0.183, 537, 0.016
287, 0.185, 538, 0.017
288, 0.187, 539, 0.019
289, 0.189, 540, 0.02
290, 0.192, 541, 0.022
291, 0.192, 542, 0.024
292, 0.193, 543, 0.026
293, 0.191, 544, 0.03
294, 0.191, 545, 0.033
295, 0.189, 546, 0.037
296, 0.187, 547, 0.04
297, 0.184, 548, 0.044
298, 0.182, 549, 0.049
299, 0.177, 550, 0.054
300, 0.174, 551, 0.06
301, 0.171, 552, 0.066
302, 0.168, 553, 0.074
303, 0.165, 554, 0.083
304, 0.161, 555, 0.093
305, 0.159, 556, 0.104
306, 0.158, 557, 0.117
307, 0.154, 558, 0.132
308, 0.154, 559, 0.149
309, 0.151, 560, 0.167
310, 0.147, 561, 0.187
311, 0.144, 562, 0.21
312, 0.141, 563, 0.234
313, 0.137, 564, 0.262
314, 0.131, 565, 0.292
315, 0.126, 566, 0.326
316, 0.12, 567, 0.36
317, 0.114, 568, 0.396
318, 0.107, 569, 0.434
319, 0.102, 570, 0.476
320, 0.094, 571, 0.518
321, 0.086, 572, 0.559
322, 0.08, 573, 0.599
323, 0.076, 574, 0.641
324, 0.071, 575, 0.684
325, 0.067, 576, 0.725
326, 0.062, 577, 0.764
327, 0.06, 578, 0.8
328, 0.058, 579, 0.835
329, 0.055, 580, 0.868
330, 0.052, 581, 0.895
331, 0.05, 582, 0.921
332, 0.049, 583, 0.943
333, 0.048, 584, 0.962
334, 0.047, 585, 0.976
335, 0.046, 586, 0.986
336, 0.045, 587, 0.995
337, 0.045, 588, 0.999
338, 0.046, 589, 1
339, 0.047, 590, 0.995
340, 0.047, 591, 0.988
341, 0.047, 592, 0.977
342, 0.049, 593, 0.963
343, 0.051, 594, 0.946
344, 0.052, 595, 0.927
345, 0.054, 596, 0.909
346, 0.056, 597, 0.889
347, 0.058, 598, 0.871
348, 0.059, 599, 0.849
349, 0.062, 600, 0.829
350, 0.063, 601, 0.803
351, 0.064, 602, 0.779
352, 0.066, 603, 0.753
353, 0.067, 604, 0.73
354, 0.069, 605, 0.706
355, 0.07, 606, 0.683
356, 0.071, 607, 0.66
357, 0.075, 608, 0.637
358, 0.076, 609, 0.613
359, 0.079, 610, 0.586
360, 0.082, 611, 0.563
361, 0.086, 612, 0.541
362, 0.087, 613, 0.521
363, 0.089, 614, 0.499
364, 0.091, 615, 0.481
365, 0.093, 616, 0.463
366, 0.095, 617, 0.449
367, 0.093, 618, 0.433
368, 0.092, 619, 0.418
369, 0.093, 620, 0.402
370, 0.089, 621, 0.389
371, 0.087, 622, 0.376
372, 0.083, 623, 0.364
373, 0.082, 624, 0.354
374, 0.078, 625, 0.343
375, 0.073, 626, 0.333
376, 0.071, 627, 0.32
377, 0.067, 628, 0.31
378, 0.064, 629, 0.301
379, 0.058, 630, 0.293
380, 0.054, 631, 0.286
381, 0.05, 632, 0.28
382, 0.048, 633, 0.274
383, 0.047, 634, 0.267
384, 0.044, 635, 0.26
385, 0.042, 636, 0.254
386, 0.04, 637, 0.248
387, 0.039, 638, 0.242
388, 0.038, 639, 0.234
389, 0.037, 640, 0.228
390, 0.036, 641, 0.224
391, 0.035, 642, 0.218
392, 0.035, 643, 0.211
393, 0.035, 644, 0.205
394, 0.033, 645, 0.2
395, 0.034, 646, 0.196
396, 0.034, 647, 0.191
397, 0.034, 648, 0.186
398, 0.034, 649, 0.18
399, 0.034, 650, 0.175
400, 0.032, 651, 0.169
401, 0.033, 652, 0.163
402, 0.033, 653, 0.158
403, 0.033, 654, 0.153
404, 0.033, 655, 0.149
405, 0.032, 656, 0.143
406, 0.031, 657, 0.14
407, 0.032, 658, 0.135
408, 0.031, 659, 0.131
409, 0.031, 660, 0.126
410, 0.03, 661, 0.122
411, 0.031, 662, 0.117
412, 0.031, 663, 0.112
413, 0.03, 664, 0.107
414, 0.03, 665, 0.104
415, 0.029, 666, 0.1
416, 0.031, 667, 0.096
417, 0.029, 668, 0.092
418, 0.029, 669, 0.088
419, 0.028, 670, 0.084
420, 0.029, 671, 0.082
421, 0.028, 672, 0.08
422, 0.028, 673, 0.077
423, 0.027, 674, 0.074
424, 0.027, 675, 0.071
425, 0.026, 676, 0.069
426, 0.026, 677, 0.067
427, 0.025, 678, 0.064
428, 0.024, 679, 0.062
429, 0.025, 680, 0.059
430, 0.023, 681, 0.057
431, 0.023, 682, 0.055
432, 0.022, 683, 0.053
433, 0.021, 684, 0.051
434, 0.021, 685, 0.049
435, 0.02, 686, 0.048
436, 0.019, 687, 0.046
437, 0.019, 688, 0.044
438, 0.019, 689, 0.042
439, 0.019, 690, 0.041
440, 0.018, 691, 0.039
441, 0.017, 692, 0.038
442, 0.017, 693, 0.037
443, 0.017, 694, 0.036
444, 0.018, 695, 0.035
