# ATTO 647
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
Q0 0.2
extcoeffv 120000
tauf 2400

# ex-wav, exc-val, fluor-wav, fluor-val
250, 0.1584, 600, 0.001
251, 0.1514, 601, 0.001
252, 0.1444, 602, 0.001
253, 0.136, 603, 0.001
254, 0.1286, 604, 0.001
255, 0.1204, 605, 0.001
256, 0.1112, 606, 0.001
257, 0.1016, 607, 0.002
258, 0.0938, 608, 0.002
259, 0.0864, 609, 0.002
260, 0.08, 610, 0.002
261, 0.0752, 611, 0.003
262, 0.0706, 612, 0.003
263, 0.0676, 613, 0.003
264, 0.0644, 614, 0.004
265, 0.0624, 615, 0.005
266, 0.0606, 616, 0.005
267, 0.0584, 617, 0.006
268, 0.057, 618, 0.007
269, 0.0552, 619, 0.008
270, 0.0538, 620, 0.009
271, 0.051, 621, 0.011
272, 0.05, 622, 0.012
273, 0.0488, 623, 0.014
274, 0.0476, 624, 0.016
275, 0.0466, 625, 0.019
276, 0.0458, 626, 0.022
277, 0.045, 627, 0.025
278, 0.0438, 628, 0.029
279, 0.044, 629, 0.033
280, 0.0432, 630, 0.038
281, 0.0434, 631, 0.043
282, 0.0434, 632, 0.05
283, 0.043, 633, 0.056
284, 0.0432, 634, 0.064
285, 0.0432, 635, 0.073
286, 0.0434, 636, 0.083
287, 0.0426, 637, 0.094
288, 0.0424, 638, 0.107
289, 0.042, 639, 0.122
290, 0.0428, 640, 0.138
291, 0.043, 641, 0.157
292, 0.0424, 642, 0.178
293, 0.043, 643, 0.201
294, 0.0434, 644, 0.228
295, 0.0446, 645, 0.256
296, 0.0466, 646, 0.287
297, 0.0476, 647, 0.32
298, 0.0494, 648, 0.354
299, 0.0514, 649, 0.39
300, 0.0532, 650, 0.428
301, 0.0552, 651, 0.467
302, 0.0572, 652, 0.508
303, 0.0592, 653, 0.55
304, 0.0618, 654, 0.593
305, 0.064, 655, 0.636
306, 0.0664, 656, 0.678
307, 0.07, 657, 0.719
308, 0.0736, 658, 0.759
309, 0.0772, 659, 0.797
310, 0.08, 660, 0.832
311, 0.0836, 661, 0.865
312, 0.0854, 662, 0.894
313, 0.0878, 663, 0.92
314, 0.087, 664, 0.942
315, 0.0862, 665, 0.961
316, 0.0834, 666, 0.976
317, 0.0792, 667, 0.988
318, 0.0744, 668, 0.995
319, 0.0686, 669, 0.999
320, 0.0632, 670, 1
321, 0.0578, 671, 0.998
322, 0.0542, 672, 0.994
323, 0.0506, 673, 0.988
324, 0.048, 674, 0.981
325, 0.0446, 675, 0.973
326, 0.0444, 676, 0.963
327, 0.044, 677, 0.953
328, 0.0442, 678, 0.941
329, 0.0438, 679, 0.929
330, 0.0458, 680, 0.916
331, 0.0468, 681, 0.901
332, 0.048, 682, 0.886
333, 0.05, 683, 0.869
334, 0.0518, 684, 0.852
335, 0.0532, 685, 0.834
336, 0.0552, 686, 0.817
337, 0.0572, 687, 0.801
338, 0.06, 688, 0.787
339, 0.0616, 689, 0.773
340, 0.0642, 690, 0.761
341, 0.0672, 691, 0.748
342, 0.07, 692, 0.737
343, 0.0726, 693, 0.727
